Name,Variant name,UOM,,MRP,Selling Price,,Category,EAN,Brand,Image Url
Chicco Baby Feeding Bottle Teat Normal Flow,0m+ 1 pc,1 pc,,129,129,,BABY CARE,40142702,Chicco,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40142702_1-chicco-baby-feeding-bottle-teat-normal-flow-0m.jpg
Cerelac 5 Grains & Vegetables 300GM,-,  300gm,,288,288,,BABY CARE,8.90E+12,nestle,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/image_picker_AF29016E-03EA-4E0B-BBA3-89B95CFC317F-1892-0000011D040F131F.jpg
Bella Baby Happy Xtra Small,24 Diapers 24 pcs,24 pcs,,319,319,,BABY CARE,5.90E+12,Bella,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40103264_3-bella-baby-happy-xtra-small-24-diapers.jpg
vim gell,-,Pc,,15,15,,Manual Product,1.69E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Adya Fresh Paneer 500 g,-,500 g,,180,180,,BAKERY| CAKES & DAIRY,-,Adya,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40076777_1-adya-fresh-paneer.jpg
Amul Cream -Fresh 1 L Carton,-, 1 L Carton,,197,197,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/104726_1-amul-cream-fresh.jpg
Amul Mithai Mate 200 g,-,200 g,,59,59,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/image_picker_E841C7DD-2FAB-4628-BF03-8CE570EEB797-2042-000001F20262C9F6.jpg
Amul Cheese,Slices 750 g Pouch,750 g Pouch,,360,360,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/229136_2-amul-cheese-slices.jpg
Amul Lactose Free Milk 250 ml,-,250 ml,,25,25,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40049915_5-amul-lactose-free-milk.jpg
Akshayakalpa Curd,Set Artisanal Organic 400 g,400 g,,80,80,,BAKERY| CAKES & DAIRY,40135118,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40135118_1-akshayakalpa-curd-set-artisanal-organic.jpg
Adya Dahi,Plain 85 g,85 g,,10,10,,BAKERY| CAKES & DAIRY,8.91E+12,Adya,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40123779_1-adya-dahi-plain.jpg
Amul Cheese Slices 100 g 5 Units Pouch,-,Piece,,85,85,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Amul Cheese Spread,School Pack 100 g, 100 g,,57,57,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40126251_1-amul-cheese-spread-school-pack.jpg
Amul Kool,Elaichi 200 ml Pet Bottle,200 ml Pet Bottle,,22,22,,BAKERY| CAKES & DAIRY,"89,01,26,21,51,57,38,90,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40005027_2-amul-kool-elaichi.jpg
Akshayakalpa Curd,Set Artisanal Organic 200 g,200 g,,40,40,,BAKERY| CAKES & DAIRY,40135117,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40135117_3-akshayakalpa-curd-set-artisanal-organic.jpg
Amul Cheese Spread,Punchy Pepper 200 g Box,200 g Box,,90,90,,BAKERY| CAKES & DAIRY,"2,05,00,01,18,99,36,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/104821_4-amul-cheese-spread-punchy-pepper.jpg
Amul Lite Milk Fat Spread 500 g,-,500 g,,195,195,,BAKERY| CAKES & DAIRY,"2,05,00,04,23,43,36,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/257195_3-amul-lite-milk-fat-spread.jpg
Akshayakalpa Cooking Butter,Unsalted Organic Tub 200 g,200 g,,230,230,,BAKERY| CAKES & DAIRY,40135124,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40135124_3-akshayakalpa-cooking-butter-unsalted-organic-tub.jpg
Amul Mango Shrikhand 500 g Cup,-,500 g Cup,,100,100,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/104840_4-amul-mango-shrikhand.jpg
Akshayakalpa Table Butter,Salted Organic Tub 200 g,200 g,,240,240,,BAKERY| CAKES & DAIRY,8.91E+12,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40135123_3-akshayakalpa-table-butter-salted-organic-tub.jpg
Amul Masti Dahi 85 g Cup,-,85 g Cup,,10,10,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40087509_5-amul-masti-dahi.jpg
Alcohol Free Kiwi Fresh Naturally refreshing Facial Wipe 20 wipe ,-,Pc,,85,85,,BAKERY| CAKES & DAIRY,8.90E+12,Alcohol free ,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Alcohol_Free_Kiwi_Fresh_Naturally_refreshing_Facial_Wipe_20_wipe_1652610640915.png
Amul Kool Cafe,Milk & Coffee 200 ml Carton,200 ml Carton,,30,30,,BAKERY| CAKES & DAIRY,"8,90,12,62,15,13,06,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/20005992_2-amul-kool-cafe-milk-coffee.jpg
Amul Butter,Pasteurised 500 g Carton, 500 g Carton,,235,235,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/104864_6-amul-butter-pasteurised.jpg
Amul Cheese,Mozzarella Diced 1 kg,1 kg,,450,450,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40126254_3-amul-cheese-mozzarella-diced.jpg
Amul Cooking Butter,Unsalted 500 g,500 g,,235,235,,BAKERY| CAKES & DAIRY,"8,90,12,62,01,00,92,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40006899_7-amul-cooking-butter-unsalted.jpg
Amul Cheese Spread 200g,-,Pc,,90,90,,BAKERY| CAKES & DAIRY,8.90E+12,Amul ,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Amul_Cheese_Spread_200g_1652781999673.png
Amul Cheese Spread,Spicy Garlic 200 g Box,200 g Box,,85,85,,BAKERY| CAKES & DAIRY,"8,90,12,62,06,00,28,20,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/104822_3-amul-cheese-spread-spicy-garlic.jpg
Amul Gold Homogenized Milk 500 ml,-,500 ml,,28,28,,BAKERY| CAKES & DAIRY,8.90E+12,Amul Gold,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/SQ103353.jpg
Amul Buttery Spread,Garlic & Herbs 100 g Carton,100 g Carton,,49,49,,BAKERY| CAKES & DAIRY,8.90E+11,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40018687_2-amul-buttery-spread-garlic-herbs.jpg
Ajanta Baking Powder Double Action 100 g,-,100 g,,21,21,,BAKERY| CAKES & DAIRY,8.91E+12,Ajanta,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/image_picker_0C8D6F6B-0B30-4530-83D4-E5DD558C3AE0-898-000000924EE44DF3.jpg
Amul Masti Dahi 400 g Cup,-,400 g Cup,,40,40,,BAKERY| CAKES & DAIRY,"2,05,00,01,93,70,25,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/104851_2-amul-masti-dahi.jpg
Amul Cheese Cube,Processed 500 g, 500 g,,242,242,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/30007086_2-amul-cheese-cube-processed.jpg
Amul Kool,Rose Flavor 200 ml Glass Bottle, 200 ml Glass Bottle,,20,20,,BAKERY| CAKES & DAIRY,"89,01,26,21,50,51,48,90,00,00,00,00,00,00,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/129236_2-amul-kool-rose-flavor.jpg
Amul Haldi Doodh 125 ml Can,-, 125 ml Can,,25,25,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/image_picker_F370FCEC-BCAB-49EF-80C7-4EA61F3F3280-688-0000002B7950E894.jpg
Amul Gold Homogenized Milk 1L,-,1 L Pouch,,55,55,,BAKERY| CAKES & DAIRY,8.90E+12,Amul Gold,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/SQ103352.jpg
Amul Butter School Pack 10 pack of 10g,-,100 g,,57,57,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/image_picker_C8C1B2E2-4EAC-48B1-A428-92A3D3263493-688-00000025D273EADC.jpg
Adya Dahi 200 g,-,200 g,,15,15,,BAKERY| CAKES & DAIRY,-,Adya,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40076773_2-adya-dahi.jpg
Akshayakalpa Cooking Butter,Unsalted Organic 200 g,200 g,,215,215,,BAKERY| CAKES & DAIRY,40135121,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40135121_1-akshayakalpa-cooking-butter-unsalted-organic.jpg
"Amul Cookies N Cream Gold Ice Cream, 1 L Tub",-,Pc,,235,235,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/scaled_image_picker5047897026386792430.jpg
Amul Honey Doodh 125 ml Can,-, 125 ml Can,,25,25,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/image_picker_BA22BBE3-F867-47E1-8EDC-DF84D49CB49C-688-0000002BF75E2FB5.jpg
Amul Elaichi Shrikhand 500 g Cup,-,500 g Cup,,100,100,,BAKERY| CAKES & DAIRY,"2,40,11,04,83,31,49,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/104833_4-amul-elaichi-shrikhand.jpg
Akshayakalpa Cheese,Organic Cheddar Smoked 200 g,200 g,,280,280,,BAKERY| CAKES & DAIRY,8.91E+12,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40131637_1-akshayakalpa-cheese-organic-cheddar-smoked.jpg
Adya Paneer 200 g,-,200 g,,75,75,,BAKERY| CAKES & DAIRY,-,Adya,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40076776_3-adya-paneer.jpg
Amul Kool,Kesar, 200 ml Pet Bottle,,20,20,,BAKERY| CAKES & DAIRY,"89,01,26,21,50,86,68,90,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40005022_4-amul-kool-kesar.jpg
Akshayakalpa Cheese,Organic Cheddar Mild/ Plain Young 200 g,200 g,,263,263,,BAKERY| CAKES & DAIRY,40131634,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40131634_1-akshayakalpa-cheese-organic-cheddar-mild-plain-young.jpg
Amul Cheese Slices 100 g Pouch,-, 100 g Pouch,,71,71,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/104759_8-amul-cheese-slices.jpg
Akshayakalpa Table Butter,Salted Organic 200 g,200 g,,225,225,,BAKERY| CAKES & DAIRY,40135119,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40135119_1-akshayakalpa-table-butter-salted-organic.jpg
Amul Gold Homogenised Standardised Milk 1 L Carton,-,1 L Carton,,68,68,,BAKERY| CAKES & DAIRY,"89,01,26,21,50,07,12,00,00,00,00,00,00,00,00,00,00,00,000",Amul Gold,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/104707_8-amul-gold-homogenised-standardised-milk.jpg
Amul Lassi,Rose Flavor 200 ml Carton, 200 ml Carton,,15,15,,BAKERY| CAKES & DAIRY,"8,90,12,62,20,01,89,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40013013_2-amul-lassi-rose-flavor.jpg
Amul Buttermilk 450 ml Pouch,-, 200 ml Carton,,12,12,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/161899_8-amul-masti-buttermilk-spice.jpg
Akshayakalpa Cheese,Organic Cheddar Chilli 200 g,200 g,,275,275,,BAKERY| CAKES & DAIRY,40131635,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40131635_1-akshayakalpa-cheese-organic-cheddar-chilli.jpg
Amul 750g,-,Pc,,2803,2803,,BAKERY| CAKES & DAIRY,8.90E+12,Amul ,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Amul_750g_1652783184232.png
Amul Malai Paneer 200 g Pouch,-,200 g Pouch,,75,75,,BAKERY| CAKES & DAIRY,"8,90,12,62,18,00,61,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/279588_6-amul-malai-paneer.jpg
Akshayakalpa Cheese,Organic Cheddar Pepper 200 g,200 g,,282,282,,BAKERY| CAKES & DAIRY,40131636,Akshayakalpa,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40131636_1-akshayakalpa-cheese-organic-cheddar-pepper.jpg
Amul Buttermilk 500Ml,-, 200 ml Carton,,12,12,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Amul_Buttermilk_500Ml_1652781330909.png
Amul Lite Milk Fat Spread 100 g,-,100 g,,40,40,,BAKERY| CAKES & DAIRY,"8,90,12,62,14,00,41,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/229134_3-amul-lite-milk-fat-spread.jpg
Amul Fresh Paneer 200 g,-,200 g,,80,80,,BAKERY| CAKES & DAIRY,"8,90,12,62,18,01,15,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40096747_5-amul-fresh-paneer.jpg
Amul Cheese Chiplets (Cubes) 1 kg Pack of 40 each 25 gm,-, each 25 gm,,505,505,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40109320_4-amul-cheese-chiplets-cubes.jpg
Amul Masti Buttermilk,Spice 1 L,1 L,,50,50,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/180584_8-amul-masti-buttermilk-spice.jpg
AMUL GREEN PISTA FAMILY PACK 750 ML,-,Pc,,220,220,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/scaled_image_picker122067176097049336.jpg
"Amul Butterscotch Gold Ice Cream, 1 L Tub",-,Pc,,255,255,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/scaled_image_picker6214331677209751074.jpg
Amul Alphonso Mango Bye 1 Get 1 Free 750ml,-,Pc,,230,230,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Amul_Alphonso_Mango_Bye_1_Get_1_Free_750ml_1646560443048.png
Amul Cheese Blend Diced 200g,-,  200 g,,105,105,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40126254_3-amul-cheese-mozzarella-diced.jpg
Amul Kool,Koko 200 ml Can,200 ml Can,,30,30,,BAKERY| CAKES & DAIRY,"8,90,12,62,15,07,12,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/277501_4-amul-kool-koko.jpg
Amul Milkshake,Vanilla 200 ml,200 ml,,25,25,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40129672_2-amul-milkshake-vanilla.jpg
Amul Basundi 1 L,-,1 L,,190,190,,BAKERY| CAKES & DAIRY,8.90E+12,Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40005029_2-amul-basundi.jpg
Adya Mishti Doi 85 g,-,85 g,,15,15,,BAKERY| CAKES & DAIRY,8.91E+12,Adya,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40123780_5-adya-mishti-doi.jpg
Amul Fresh Cream,25% Milk Fat Low Fat 250 ml,   250 ml,,67,67,,BAKERY| CAKES & DAIRY,"8,90,12,62,15,01,01,89,00,00,00,00,000",Amul,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40102603_3-amul-fresh-cream-25-milk-fat-low-fat.jpg
Park Avenue Premium Men's Soap,Good Morning 75 g,Pc,,25,25,,Manual Product,8.90E+12,Park Avenue ,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Park_Avenue_Premium_Men_s_Soap_-_Good_Morning_75_g_1648551987125.png
Park Avenue Good Morning Soap 4N 125g,-,Pc,,210,210,,Manual Product,8.90E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Park_Avenue_Good_Morning_Soap_4N_125g_1684056887958.png
Park Avenue Essential Grooming Kit 7N,-,Pc,,420,420,,Manual Product,8.90E+12,Park Avenue,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/scaled_image_picker7759265091634196394.png
Park Avenue Euphoria De Perfume 100ml,-,Pc,,699,699,,Manual Product,8.90E+12,Park Avenue,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/scaled_image_picker5365190227016026473.jpg
Park avenue orignal collection body spray 150 ml BUY 2 DEOS & GET 1 DEO,-,Pc,,450,450,,Manual Product,8.90E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
 Neutrogena Deep Clean Blackheads Eliminating Daily Scrub 40g,-,40G,,160,160,,BEAUTY & HYGIENE,8.85E+12,Neutrogena,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Neutrogena_Deep_Clean_Blackheads_Eliminating_Daily_Scrub_40g_1652171957409.png
...,-,Pc,,195,195,,BEAUTY & HYGIENE,6.52E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
3M Anti Smog Anti Pollution Anti Dust Disposable Respirator,Yellow Mask 59 g,59 g,,199,199,,BEAUTY & HYGIENE,-,3M,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40094441_2-3m-anti-smog-anti-pollution-anti-dust-disposable-respirator-yellow-mask.jpg
A Well Kitchen Towel Tissue 1 Rolls,-,Pc,,90,90,,BEAUTY & HYGIENE,8.91E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/A_Well_Kitchen_Towel_Tissue_1_Rolls_1674803700359.png
3M Anti Smog Anti Pollution Anti Dust Disposable Respirator,Grey Mask 59 g,59 g,,199,199,,BEAUTY & HYGIENE,40094440,3M,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40094440_2-3m-anti-smog-anti-pollution-anti-dust-disposable-respirator-grey-mask.jpg
3M Premier Filtering Mask,White N95 8210 1 pc,1 pc,,249,249,,BEAUTY & HYGIENE,-,3M,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40119462_1-3m-premier-filtering-mask-white-n95-8210.jpg
 Jergens Lotion Original Cherry Almond 200 ml,-,Pc,,329,329,,BEAUTY & HYGIENE,19100153868,Jergens ,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Jergens_Lotion_Original_Cherry_Almond_200_ml_1653459585252.png
AARYANVEDA   WINE KIT 250,-,Piece,,250,250,,BEAUTY & HYGIENE,8.91E+12,AARYANUEDA,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
4 step pedicure paddle ,-,Pc,,60,60,,BEAUTY & HYGIENE,9.12E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/4_step_pedicure_paddle_1673594267892.png
AARYANVEDA  GOLD F/W 110 ML 120,-,Piece,,120,120,,BEAUTY & HYGIENE,8.91E+12,AARYANUEDA,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
A-Well Premium Facial Tissu 200 SEEDS 100 Pulls,-,Pc,,70,70,,BEAUTY & HYGIENE,8.91E+12,A-Well,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AARYANVEDA  FRUIT N NUT 200 ML,-,Piece,,130,130,,BEAUTY & HYGIENE,T09020,AARYANUEDA,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AARYANVEDA  WINE F/W 110 ML 120,-,Piece,,120,120,,BEAUTY & HYGIENE,8.91E+12,AARYANUEDA,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AAKASH LIPSTICK,-,Piece,,100,100,,BEAUTY & HYGIENE,AK50,MIX BRAND,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
 Pro Comfort SilkTouch O.b 10N,-,Pc,,145,145,,BEAUTY & HYGIENE,8.00E+12,Pro Comfort,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Pro_Comfort_SilkTouch_O.b_10N_1652611040664.png
AARYANVEDA sunscreen 20spf 150,-,Piece,,150,150,,BEAUTY & HYGIENE,8.91E+12,AARYANUEDA,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AARYANVEDA FRUIT KIT,-,Piece,,225,225,,BEAUTY & HYGIENE,8.91E+12,AARYANUEDA,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS ARGAN OIL RADIANCE OIL IN GEL,-,Piece,,849,849,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
A1 Onion Oil 100ML,-,100ML,,200,200,,BEAUTY & HYGIENE,8.94E+12,A1,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/scaled_image_picker2890913126926774752.jpg
ABS HIGHLIGHTER -MOON LIT,-,Piece,,750,750,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS EYE ARTIST KAJAL-750 BLACK,-,Piece,,750,750,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AATIFA DEO GOLD 399,-,Piece,,399,399,,BEAUTY & HYGIENE,6.29E+12,AJMAL,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS GLOSS ARTIST LINER-650,-,Piece,,700,700,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS ILLUMATING FOUNDATION-02,-,Piece,,750,750,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS FIREY PINK 233,-,Piece,,700,700,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS BLUR PERFECT MAKE UP PRIMER-675,-,Piece,,750,750,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AARYANVEDA PAPAYA KIT 650,-,Piece,,650,650,,BEAUTY & HYGIENE,8.91E+12,AARYANUEDA,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS COM-03 GOLDEN-MAR-9G,-,Piece,,875,875,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS 104 NUDE FLAIR,-,Piece,,700,700,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS ARGAN OIL FOUNDATION 750,-,Piece,,800,800,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS ARGAN OIL RADIANCE NIGHT EYE CREAM-650,-,Piece,,699,699,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS COM-02 ROSE FAIR-9G,-,Piece,,875,875,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ABS BI MAKE UP REMOVER-60ML,-,Piece,,350,350,,BEAUTY & HYGIENE,8.90E+12,LAKME,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
24 Mantra Juice,Apple Blast 250 ml Can,250 ml Can,,49,49,,BEVERAGES,30012141,24 Mantra,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/30012141_2-24-mantra-juice-apple-blast.jpg
